psraid,sample,int_date,version,cregion,usr,q6a,q6b,q7,pay1a,pay1b,pay1c,pay1d,pay1e,pay1f,pay1g,pay1h,pay1i,pay1j,pay1k,pay1l,pay1m,pay1n,pay1o,pay1p,pay2a,pay2b,pay2c,pay3,pay4,ql1,ql1a,qc1,hh1,emp,par,sex,age,educ,hisp,race,inc,activ75,activ87,activ112,income,iphoneuse,hphoneuse,recage,receduc,racethn,weight,standwt
100461,1,100710,1,3,S,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1750,200,1, , ,3,3,1,1,62,5,2,5,5,2,3,3,2,2,2,5,3,4,2.47058823529412,.784908775971862
100470,1,100710,1,2,U,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,3,2,2,72,6,2,1,6, , , ,3,2,2,6,4,1,1,.317701171226706
100478,1,100910,2,3,U,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,2,2,1,74,3,2,1,2, , , ,1,2,2,6,2,1,1.70588235294118,.541960821504381
100509,1,100710,1,3,U,1,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,15,0,1, , ,2,2,1,2,52,6,2,4,99,2,3,3,4,2,2,4,4,4,2.94117647058824,.934415209490311
100515,1,100710,1,3,U,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,2,2,2,2,1,2,1,10,1,1, , ,2,3,2,2,59,5,2,1,7,1,1,1,4,2,2,5,3,1,1.94117647058824,.616714038263605
100524,1,101010,2,4,S,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2, ,0,1, , ,2,4,1,1,30,7,2,1,2,2,1,3,1,2,2,2,4,1,5.88235294117647,1.86883041898062
100556,1,100910,2,2,S,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2, ,0,1, , ,2,2,2,1,61,3,2,1,4,3,2,3,2,2,2,5,2,1,4.11764705882353,1.30818129328644
100559,1,100810,2,3,S,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,2,3,2,2,83,4,2,1,99,3,3,3,9,2,2,6,2,1,1.76470588235294,.560649125694187
100564,1,100710,1,3,S,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,0,1, , ,2,3,2,2,73,6,2,2,3,3,3,3,1,2,2,6,4,2,1,.317701171226706
100595,1,100910,2,1,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2, ,10,1, , ,1,3,2,2,76,6,2,1,3,3,3,3,1,2,2,6,4,1,1,.317701171226706
100600,1,100910,2,2,S,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,1,2,2,2,40,3,2,2,3,3,2,3,1,2,2,3,2,2,2,.635402342453412
100601,1,100710,1,3,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,3,2,1,85,6,2,1,3, , , ,1,2,2,6,4,1,1.52941176470588,.485895908934962
100603,1,100710,1,3,U,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,0,1, , ,3,1,1,1,33,6,2,1,9,3,3,3,4,2,2,2,4,1,3.17647058823529,1.00916842624954
100613,1,100710,1,3,R,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,0,1, , ,2,1,1,1,47,3,2,1,8,3,1,3,4,2,2,4,2,1,3.23529411764706,1.02785673043934
100636,1,100710,1,2,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,2, ,3,4,2,1,20,3,2,2,99,3,3,3,9,1,1,1,2,2,8.17647058823529,2.59767428238307
100650,1,100710,1,2,S,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2, ,0,1, , ,2,1,2,2,37,6,2,1,3,2,1,3,1,2,2,3,4,1,2.70588235294118,.859661992731086
100659,1,100710,1,2,R,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,3,2,2,77,1,2,1,1, , , ,1,1,1,6,1,1,2.23529411764706,.710155559212637
100661,1,100710,1,2,R,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,50,1, , ,2,4,2,1,18,3,2,1,7,3,3,3,4,2,2,1,2,1,2.82352941176471,.897038601110699
100667,1,100710,1,4,U,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,1, , ,1,4,2,2,76,5,2,1,2,9,3,3,1,2,2,6,3,1,1.17647058823529,.373766083796125
100711,1,100710,1,4,R,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,1, , ,2,3,2,2,58,6,2,1,6,3,3,3,3,2,2,5,4,1,1.47058823529412,.467207604745156
100725,1,100910,2,4,U,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2, ,10,1, , ,2,1,1,1,47,6,2,1,5,2,1,2,2,2,2,4,4,1,4.17647058823529,1.32686959747624
100753,1,100710,1,4,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,1, ,2,1,2,2,47,3,2,1,9,3,3,3,4,1,2,4,2,1,8.17647058823529,2.59767428238307
100766,1,100710,1,4,R,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,1,2,1,50,3,2,5,1, , , ,1,2,2,4,2,4,2.41176470588235,.766220471782055
100796,1,100810,2,3,S,1,1,1,2,2,2,1,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2, ,0,1, , ,9,1,9,2,99,6,9,9,5,1,3,3,2,2,2,9,4,9,2.52941176470588,.803597080161668
100803,1,100810,2,3,R,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,1, ,3,3,2,2,83,3,2,1,1, , , ,1,1,2,6,2,1,3.29411764705882,1.04654503462915
100804,1,100810,2,3,U,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,0,1, , ,2,1,1,2,40,3,2,1,6,3,1,2,3,2,2,3,2,1,5.05882352941176,1.60719416032334
100808,1,100810,2,3,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,3,2,1,80,1,2,1,2, , , ,1,2,2,6,1,1,3.05882352941176,.971791817869924
100814,1,100810,2,1,U,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2, ,2,3,2,2,70,3,2,1,3,3,3,3,1,1,1,6,2,1,4,1.27080468490682
100825,1,100810,2,1,S,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2, ,0,1, , ,2,3,2,1,61,7,2,1,99,2,3,3,9,2,2,5,4,1,2.05882352941176,.654090646643218
100854,1,100910,2,1,S,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,9998,1, , ,2,1,2,1,68,7,2,1,9,3,2,3,4,2,2,6,4,1,1.76470588235294,.560649125694187
100863,1,100810,2,3,R,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2, ,2,3,2,1,75,6,2,1,6,3,3,3,3,1,1,6,4,1,3.23529411764706,1.02785673043934
100885,1,100810,2,2,U,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,0,1, , ,3,2,1,2,55,6,2,1,7,2,3,3,4,2,2,5,4,1,2.23529411764706,.710155559212637
100887,1,100810,2,3,R,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,2,1,66,3,2,1,3, , , ,1,2,2,6,2,1,1.29411764705882,.411142692175737
100889,1,100810,2,1,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,2,1,1,1,48,6,2,5,8,3,3,3,4,2,2,4,4,4,2.64705882352941,.84097368854128
100893,1,100810,2,1,S,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2, ,10,1, , ,2,4,1,2,37,7,2,1,6,2,1,3,3,2,2,3,4,1,2.82352941176471,.897038601110699
100896,1,100810,2,1,R,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,3,4,2,1,57,4,2,1,99,3,1,3,9,2,2,5,2,1,2.47058823529412,.784908775971862
100898,1,100810,2,1,S,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2, ,1,3,2,2,61,6,2,1,4,3,3,3,2,1,1,5,4,1,3.05882352941176,.971791817869924
100912,1,100810,2,1,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,1,2,1,45,3,2,1,1, , , ,1,2,2,4,2,1,1.94117647058824,.616714038263605
100915,1,100810,2,3,U,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,1,2,1,58,6,2,1,6, , , ,3,2,2,5,4,1,3.17647058823529,1.00916842624954
100936,1,100810,2,4,S,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2, ,0,1, , ,2,3,2,1,70,3,2,1,5,3,2,3,2,2,2,6,2,1,2.94117647058824,.934415209490311
100938,1,101010,2,4,R,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,2,1,2,1,61,1,2,1,6,3,2,3,3,2,2,5,1,1,3.58823529411765,1.13998655557818
100940,1,100810,2,3,R,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,1,1,2,1,57,6,2,1,6,3,1,3,3,2,2,5,4,1,1,.317701171226706
100966,1,100810,2,2,U,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,4,2,1,2,50,4,2,2,3,3,2,3,1,2,2,4,2,2,3.58823529411765,1.13998655557818
101010,1,100910,2,3,S,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,1, , ,2,4,1,2,35,7,2,1,7,1,2,1,4,2,2,3,4,1,3.58823529411765,1.13998655557818
101018,1,100910,2,1,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, ,3,4,1,1,47,2,2,1,1, , , ,1,1,1,4,1,1,8.17647058823529,2.59767428238307
101023,1,100910,2,3,S,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2, ,5,1, , ,2,2,1,2,44,6,2,9,7,3,1,1,4,2,2,3,4,9,3.29411764705882,1.04654503462915
101028,1,100910,2,2,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,1,2,1,56,3,2,1,6, , , ,3,2,2,5,2,1,1.94117647058824,.616714038263605
101031,1,100910,2,2,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,1, , ,2,3,2,2,74,7,2,1,6, , , ,3,2,2,6,4,1,1,.317701171226706
101041,1,100910,2,2,S,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,1,1, , ,2,1,2,2,63,6,2,1,8,2,2,3,4,2,2,5,4,1,1.35294117647059,.429830996365543
101059,1,101010,2,3,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,2,1,2,2,65,5,2,1,7,3,3,3,4,2,2,6,3,1,1.58823529411765,.504584213124768
101062,1,100910,2,1,R,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,1, ,4,1,2,1,54,3,2,1,6, , , ,3,1,2,4,2,1,5.88235294117647,1.86883041898062
101085,1,100910,2,3,S,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, ,1,3,2,2,77,7,2,1,4, , , ,2,1,1,6,4,1,1.35294117647059,.429830996365543
101090,1,100910,2,2,S,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1, , ,2,3,2,1,62,3,2,1,5,3,2,3,2,2,2,5,2,1,2.52941176470588,.803597080161668
