Unique ID,Sample type,Interview date,Q.Revised  REVISIONS TO QUESTIONNAIRE.,Census Region - from zip merge,Community type from zip merge - alpha,"Q6a Do you use the internet, at least occasionally?","Q6b Do you send or receive email, at least occasionally?",Do you use Internet,Q7 Did you happen to use the internet YESTERDAY?,PAY1a .Music,PAY1b .OnlineStreaming,PAY1c .Photos,PAY1d .Reading Articles,PAY1e .e-Book,PAY1f .Games,PAY1g .OnlineGameItems,PAY1h .OnlineGamesCheats,PAY1i .Podcasts,PAY1j .Ringtones,PAY1k .Software,PAY1l .MobileApps,PAY1m .ExclusiceWebsites,PAY1n .PremiumContent,PAY1o .Adult content,PAY1p .Others,PAY2a ForDownload,PAY2b ForStreaming,PAY2c ForSubscription,Payflag,PAY3 PastYearlyPayment,PAY4 AvgMonthlyPayment,L1  working cellphone,L1a HouseHold working cellphone,C1 AnyLandline,HH1 How many adults,EMP  Status,PAR Are you the parent or guardian of any children under 18 years of age?,Sex,Age,Education,Hispanic,Race/Ethnicity,Income,ACTIV75. Do you ever use the internet to -- PAY to access or download digital content ,ACTIV87. Do you ever use the internet to -- Use a social networking ,ACTIV112. Do you ever use the internet to -- Use Twitter or another service to share updates ,Income Summary,Individual telephone use,Household telephone use,Recoded age,Recoded education,Race/Ethnicity,Final weight,Standardized Weight
100295,Landline,100710,Initial Version,South,Urban,Yes,Yes,1,"Yes, used the internet yesterday",No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,,10,"No, do not",No,,1,Retired,No,Male,40,"High school graduate, Grade 12, or GED certificate",No,Native American/American Indian,"$30,000 to under $40,000",Yes/not yesterday,No,No,$30K-LT $50k,LLO,LLO HH,35-44,HS grad,Other~Hisp,8.176470588,2.597674282
100300,Landline,100710,Initial Version,South,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,1,30,2,"Yes, have cell phone",,,2,Employed full-time,Yes,Female,28,"Post graduate or professional schooling after college (including work towards an MA, MS, Ph.D., JD, DDS, or MD degree)",No,White,"$150,000 or over",Yes/yesterday,Yes/yesterday,Yes/yesterday,$75K+,Dual,Dual HH,25-34,Coll+,White~Hisp,3.647058824,1.15867486
100461,Landline,100710,Initial Version,South,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,1,1750,200,"Yes, have cell phone",,,3,Retired,Yes,Male,62,"Some college or university work, but no four-year degree",No,Native American/American Indian,"$40,000 to under $50,000",Yes/not yesterday,No,No,$30K-LT $50k,Dual,Dual HH,55-64,Some coll,Other~Hisp,2.470588235,0.784908776
100509,Landline,100710,Initial Version,South,Urban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,1,15,Nothing,"Yes, have cell phone",,,2,Employed part-time,Yes,Female,52,"College or university graduate (BA, BS or other four-year degree received)",No,Mixed race,(DO NOT READ) Don’t know/Refused,Yes/not yesterday,No,No,$75K+,Dual,Dual HH,45-54,Coll+,Other~Hisp,2.941176471,0.93441521
100515,Landline,100710,Initial Version,South,Urban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,1,10,1,"Yes, have cell phone",,,2,Retired,No,Female,59,"Some college or university work, but no four-year degree",No,White,"$75,000 to under $100,000",Yes/yesterday,Yes/yesterday,Yes/yesterday,$75K+,Dual,Dual HH,55-64,Some coll,White~Hisp,1.941176471,0.616714038
100524,Landline,101010,10/08 - client changes,West,Suburban,Yes,No,1,"Yes, used the internet yesterday",Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,1,,Nothing,"Yes, have cell phone",,,2,Not employed,Yes,Male,30,"Post graduate or professional schooling after college (including work towards an MA, MS, Ph.D., JD, DDS, or MD degree)",No,White,"$10,000 to under $20,000",Yes/not yesterday,Yes/yesterday,No,Under $30K,Dual,Dual HH,25-34,Coll+,White~Hisp,5.882352941,1.868830419
100556,Landline,100910,10/08 - client changes,Midwest,Suburban,Yes,No,1,"No, did not use the internet yesterday",No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,2,Employed part-time,No,Male,61,"High school graduate, Grade 12, or GED certificate",No,White,"$30,000 to under $40,000",No,Yes/not yesterday,No,$30K-LT $50k,Dual,Dual HH,55-64,HS grad,White~Hisp,4.117647059,1.308181293
100564,Landline,100710,Initial Version,South,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,2,Retired,No,Female,73,"College or university graduate (BA, BS or other four-year degree received)",No,Black or African-American,"$20,000 to under $30,000",No,No,No,Under $30K,Dual,Dual HH,65+,Coll+,AA~Hisp,1,0.317701171
100595,Landline,100910,10/08 - client changes,Northeast,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,1,,10,"Yes, have cell phone",,,1,Retired,No,Female,76,"College or university graduate (BA, BS or other four-year degree received)",No,White,"$20,000 to under $30,000",No,No,No,Under $30K,Dual,Dual HH,65+,Coll+,White~Hisp,1,0.317701171
100603,Landline,100710,Initial Version,South,Urban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,3,Employed full-time,Yes,Male,33,"College or university graduate (BA, BS or other four-year degree received)",No,White,"$150,000 or over",No,No,No,$75K+,Dual,Dual HH,25-34,Coll+,White~Hisp,3.176470588,1.009168426
100613,Landline,100710,Initial Version,South,Rural,Yes,Yes,1,"Yes, used the internet yesterday",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,2,Employed full-time,Yes,Male,47,"High school graduate, Grade 12, or GED certificate",No,White,"$100,000 to under $150,000",No,Yes/yesterday,No,$75K+,Dual,Dual HH,45-54,HS grad,White~Hisp,3.235294118,1.02785673
100650,Landline,100710,Initial Version,Midwest,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,2,Employed full-time,No,Female,37,"College or university graduate (BA, BS or other four-year degree received)",No,White,"$20,000 to under $30,000",Yes/not yesterday,Yes/yesterday,No,Under $30K,Dual,Dual HH,35-44,Coll+,White~Hisp,2.705882353,0.859661993
100661,Landline,100710,Initial Version,Midwest,Rural,Yes,No,1,"Yes, used the internet yesterday",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1,,50,"Yes, have cell phone",,,2,Not employed,No,Male,18,"High school graduate, Grade 12, or GED certificate",No,White,"$75,000 to under $100,000",No,No,No,$75K+,Dual,Dual HH,18-24,HS grad,White~Hisp,2.823529412,0.897038601
100667,Landline,100710,Initial Version,West,Urban,Yes,Yes,1,"No, did not use the internet yesterday",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,1,Not employed,No,Female,76,"Some college or university work, but no four-year degree",No,White,"$10,000 to under $20,000",Refused,No,No,Under $30K,Dual,Dual HH,65+,Some coll,White~Hisp,1.176470588,0.373766084
100725,Landline,100910,10/08 - client changes,West,Urban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,1,,10,"Yes, have cell phone",,,2,Employed full-time,Yes,Male,47,"College or university graduate (BA, BS or other four-year degree received)",No,White,"$40,000 to under $50,000",Yes/not yesterday,Yes/yesterday,Yes/not yesterday,$30K-LT $50k,Dual,Dual HH,45-54,Coll+,White~Hisp,4.176470588,1.326869598
100796,Landline,100810,10/08 - client changes,South,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",No,No,No,Yes,No,No,No,No,(DO NOT READ) Don’t know,No,No,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,Don’t know/Refused (VOL.),Employed full-time,(DO NOT READ) Don’t know/Refused,Female,Refused,"College or university graduate (BA, BS or other four-year degree received)",(DO NOT READ) Don’t know/Refused,(DO NOT READ) Don’t know/Refused,"$40,000 to under $50,000",Yes/yesterday,No,No,$30K-LT $50k,Dual,Dual HH,DK/Ref,Coll+,DK/Ref,2.529411765,0.80359708
100804,Landline,100810,10/08 - client changes,South,Urban,Yes,Yes,1,"Yes, used the internet yesterday",Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,2,Employed full-time,Yes,Female,40,"High school graduate, Grade 12, or GED certificate",No,White,"$50,000 to under $75,000",No,Yes/yesterday,Yes/not yesterday,$50K-LT $75K,Dual,Dual HH,35-44,HS grad,White~Hisp,5.058823529,1.60719416
100825,Landline,100810,10/08 - client changes,Northeast,Suburban,Yes,Yes,1,"Yes, used the internet yesterday",No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,1,,Nothing,"Yes, have cell phone",,,2,Retired,No,Male,61,"Post graduate or professional schooling after college (including work towards an MA, MS, Ph.D., JD, DDS, or MD degree)",No,White,(DO NOT READ) Don’t know/Refused,Yes/not yesterday,No,No,Undesignated,Dual,Dual HH,55-64,Coll+,White~Hisp,2.058823529,0.654090647
